feature,importance
Energy,0.0
Congestion,0.0
Loss,0.0
lmp_mean_60m,0.0
lmp_std_60m,0.0
lmp_mean_4h,0.0
lmp_std_4h,0.0
lmp_mean_24h,0.0
lmp_std_24h,0.0
lmp_max_24h,0.0
lmp_min_24h,0.0
energy_60m_mean,0.0
congestion_60m_mean,0.0
loss_60m_mean,0.0
ghg_60m_mean,0.0
ghg_nonzero_pct_60m,0.0
lmp_lag_1,0.0
lmp_lag_12,0.0
lmp_lag_48,0.0
lmp_slope_60m,0.0
lmp_pct_change_5m,0.0
lmp_pct_change_60m,0.0
lmp_range_4h,0.0
hour_of_day,0.0
day_of_week,0.0
month,0.0
is_weekend,0.0
hour_sin,0.0
hour_cos,0.0
month_sin,0.0
month_cos,0.0
solar_mw_60m_mean,0.0
wind_mw_60m_mean,0.0
natural_gas_mw_60m_mean,0.0
imports_mw_60m_mean,0.0
nuclear_mw_60m_mean,0.0
large_hydro_mw_60m_mean,0.0
batteries_mw_60m_mean,0.0
lmp_spread_np_sp,0.0
lmp_spread_np_zp,0.0
lmp_spread_sp_zp,0.0
lmp_max_across_zones,0.0
lmp_min_across_zones,0.0
lmp_mean_across_zones,0.0
lmp_max_across_zones_60m,0.0
zone_NP15,0.0
zone_SP15,0.0
zone_ZP26,0.0
zone_NP15,0.0
zone_SP15,0.0
zone_ZP26,0.0
